campaign_id,channel,campaign_cost,impressions,clicks,start_date,end_date,leads
C100,Social Media,3414.76,42902,1643,2026-06-24,2026-07-18,62
C101,Organic,436.8,25238,2315,2026-05-11,2026-06-22,75
C102,Referral,1471.71,22781,2752,2026-01-01,2026-01-18,90
C103,Google Ads,9052.37,46699,2464,2026-01-05,2026-01-31,56
C104,Email,2213.47,37727,3273,2026-05-22,2026-06-11,80
C105,Email,1160.94,19694,1758,2026-04-13,2026-05-23,74
C106,Email,1091.81,30669,2557,2026-01-27,2026-02-28,63
C107,Organic,332.46,28437,3328,2026-05-17,2026-06-21,81
C108,Google Ads,6651.28,48252,3070,2026-01-15,2026-02-25,63
C109,Referral,2024.51,43004,7521,2026-03-31,2026-04-15,79
C110,Email,1066.53,38629,3523,2026-02-11,2026-03-06,60
C111,Organic,283.83,29286,2869,2026-05-04,2026-05-30,77
C112,Referral,1998.97,31403,3948,2026-06-28,2026-08-10,86
C113,Email,1997.92,48436,3674,2026-03-04,2026-04-11,72
C114,Email,2692.19,32316,2759,2026-04-06,2026-05-10,85
C115,Email,723.62,17419,1486,2026-02-21,2026-03-12,63
C116,Social Media,4105.29,18332,760,2026-04-06,2026-05-17,70
C117,Google Ads,10644.32,12437,678,2026-05-12,2026-06-22,70
C118,Social Media,3958.87,5703,233,2026-05-31,2026-06-25,71
C119,Social Media,5838.57,24053,917,2026-05-23,2026-06-17,68
