conversion_id,customer_id,campaign_id,lead_date,conversion_date,revenue
CV5000,CUST1003,C100,2026-07-07,2026-07-16,84.4
CV5001,CUST1004,C100,2026-07-01,2026-07-14,134.53
CV5002,CUST1010,C105,2026-04-18,2026-05-06,186.5
CV5003,CUST1011,C107,2026-05-24,2026-06-10,111.89
CV5004,CUST1012,C108,2026-01-25,2026-01-26,79.86
CV5005,CUST1013,C104,2026-05-27,2026-06-11,549.29
CV5006,CUST1021,C116,2026-04-17,2026-04-19,156.73
CV5007,CUST1023,C119,2026-05-24,2026-06-09,408.43
CV5008,CUST1028,C116,2026-04-16,2026-04-21,57.81
CV5009,CUST1029,C104,2026-05-27,2026-06-15,188.43
CV5010,CUST1034,C101,2026-05-15,2026-05-20,107.68
CV5011,CUST1040,C111,2026-05-08,2026-05-10,98.47
CV5012,CUST1045,C105,2026-04-24,2026-05-01,65.69
CV5013,CUST1052,C115,2026-02-22,2026-02-25,117.4
CV5014,CUST1057,C102,2026-01-07,2026-01-24,173.74
CV5015,CUST1060,C118,2026-06-11,2026-06-14,81.7
CV5016,CUST1068,C107,2026-05-23,2026-06-05,83.46
CV5017,CUST1076,C102,2026-01-03,2026-01-10,221.14
CV5018,CUST1077,C106,2026-02-03,2026-02-06,511.66
CV5019,CUST1082,C101,2026-05-21,2026-06-05,154.41
CV5020,CUST1090,C102,2026-01-09,2026-01-27,57.22
CV5021,CUST1094,C102,2026-01-10,2026-01-20,58.18
CV5022,CUST1099,C116,2026-04-16,2026-04-23,187.18
CV5023,CUST1100,C107,2026-05-28,2026-06-06,548.08
CV5024,CUST1107,C102,2026-01-08,2026-01-13,189.92
CV5025,CUST1108,C117,2026-05-17,2026-05-25,153.71
CV5026,CUST1118,C100,2026-07-05,2026-07-19,108.74
CV5027,CUST1120,C115,2026-03-03,2026-03-07,221.09
CV5028,CUST1129,C118,2026-06-09,2026-06-23,119.13
CV5029,CUST1133,C112,2026-07-01,2026-07-13,170.92
CV5030,CUST1144,C102,2026-01-05,2026-01-07,60.52
CV5031,CUST1145,C116,2026-04-14,2026-04-27,169.92
CV5032,CUST1147,C111,2026-05-09,2026-05-10,565.55
CV5033,CUST1149,C105,2026-04-16,2026-04-23,186.6
CV5034,CUST1161,C109,2026-04-04,2026-04-13,102.08
CV5035,CUST1166,C114,2026-04-10,2026-04-27,61.44
CV5036,CUST1169,C101,2026-05-18,2026-05-31,117.78
CV5037,CUST1170,C116,2026-04-14,2026-04-24,120.28
CV5038,CUST1171,C107,2026-05-25,2026-06-10,213.53
CV5039,CUST1177,C109,2026-04-08,2026-04-14,168.1
CV5040,CUST1183,C112,2026-07-07,2026-07-23,199.99
CV5041,CUST1186,C107,2026-05-30,2026-06-10,63.38
CV5042,CUST1188,C115,2026-02-26,2026-03-01,216.32
CV5043,CUST1193,C101,2026-05-16,2026-05-25,203.54
CV5044,CUST1199,C105,2026-04-22,2026-05-07,131.97
CV5045,CUST1205,C111,2026-05-05,2026-05-18,209.9
CV5046,CUST1210,C105,2026-04-18,2026-04-28,364.3
CV5047,CUST1213,C114,2026-04-11,2026-04-24,129.64
CV5048,CUST1218,C112,2026-07-04,2026-07-21,72.91
CV5049,CUST1229,C114,2026-04-16,2026-04-23,214.19
CV5050,CUST1234,C100,2026-06-28,2026-07-04,572.99
CV5051,CUST1240,C115,2026-02-22,2026-03-07,144.48
CV5052,CUST1241,C118,2026-06-10,2026-06-27,101.15
CV5053,CUST1245,C114,2026-04-12,2026-04-27,99.25
CV5054,CUST1250,C111,2026-05-13,2026-05-17,107.62
CV5055,CUST1257,C109,2026-04-04,2026-04-19,140.58
CV5056,CUST1262,C109,2026-04-07,2026-04-21,443.24
CV5057,CUST1267,C103,2026-01-08,2026-01-19,98.73
CV5058,CUST1270,C101,2026-05-17,2026-05-21,288.4
CV5059,CUST1272,C119,2026-05-29,2026-06-01,400.56
CV5060,CUST1274,C117,2026-05-21,2026-05-23,188.51
CV5061,CUST1275,C102,2026-01-06,2026-01-16,135.31
CV5062,CUST1276,C100,2026-06-29,2026-07-12,117.29
CV5063,CUST1277,C100,2026-06-27,2026-07-15,108.62
CV5064,CUST1278,C118,2026-06-09,2026-06-25,219.97
CV5065,CUST1282,C102,2026-01-09,2026-01-20,131.01
CV5066,CUST1283,C100,2026-07-06,2026-07-16,110.86
CV5067,CUST1285,C107,2026-05-21,2026-05-30,74.72
CV5068,CUST1286,C109,2026-04-01,2026-04-13,106.32
CV5069,CUST1292,C101,2026-05-15,2026-06-03,520.78
CV5070,CUST1302,C106,2026-02-04,2026-02-05,130.06
CV5071,CUST1315,C115,2026-02-27,2026-03-17,342.97
CV5072,CUST1320,C104,2026-05-26,2026-06-09,182.11
CV5073,CUST1328,C119,2026-05-23,2026-05-24,159.97
CV5074,CUST1339,C106,2026-02-08,2026-02-25,200.07
CV5075,CUST1350,C115,2026-02-26,2026-03-09,107.9
CV5076,CUST1352,C112,2026-07-09,2026-07-24,95.07
CV5077,CUST1354,C106,2026-02-07,2026-02-11,102.76
CV5078,CUST1357,C102,2026-01-02,2026-01-17,224.21
CV5079,CUST1361,C114,2026-04-14,2026-04-28,99.44
CV5080,CUST1362,C111,2026-05-10,2026-05-11,132.82
CV5081,CUST1372,C109,2026-04-09,2026-04-18,117.98
CV5082,CUST1376,C104,2026-05-30,2026-06-06,485.09
CV5083,CUST1378,C105,2026-04-26,2026-05-07,89.48
CV5084,CUST1379,C118,2026-06-03,2026-06-05,113.55
CV5085,CUST1380,C107,2026-05-23,2026-05-25,102.5
CV5086,CUST1394,C109,2026-04-10,2026-04-16,88.62
CV5087,CUST1410,C105,2026-04-15,2026-05-04,153.43
CV5088,CUST1413,C112,2026-07-07,2026-07-21,409.4
CV5089,CUST1416,C115,2026-02-25,2026-02-28,70.48
CV5090,CUST1417,C110,2026-02-21,2026-02-28,57.11
CV5091,CUST1420,C102,2026-01-03,2026-01-10,92.79
CV5092,CUST1422,C119,2026-05-29,2026-06-02,130.49
CV5093,CUST1425,C108,2026-01-22,2026-01-27,130.0
CV5094,CUST1430,C102,2026-01-12,2026-01-29,320.12
CV5095,CUST1432,C110,2026-02-13,2026-02-17,127.75
CV5096,CUST1433,C111,2026-05-15,2026-05-28,58.03
CV5097,CUST1452,C112,2026-07-04,2026-07-20,185.91
CV5098,CUST1455,C105,2026-04-22,2026-05-08,81.69
CV5099,CUST1457,C118,2026-06-04,2026-06-06,172.38
CV5100,CUST1464,C104,2026-06-02,2026-06-20,96.77
CV5101,CUST1467,C117,2026-05-22,2026-05-23,118.24
CV5102,CUST1468,C114,2026-04-14,2026-05-02,60.37
CV5103,CUST1470,C110,2026-02-20,2026-02-28,82.75
CV5104,CUST1471,C116,2026-04-09,2026-04-20,358.69
CV5105,CUST1477,C100,2026-06-26,2026-07-11,86.51
CV5106,CUST1479,C105,2026-04-22,2026-05-08,215.46
CV5107,CUST1480,C116,2026-04-11,2026-04-28,102.33
CV5108,CUST1481,C104,2026-06-04,2026-06-21,98.36
CV5109,CUST1484,C102,2026-01-08,2026-01-20,157.95
CV5110,CUST1488,C109,2026-04-05,2026-04-15,185.53
CV5111,CUST1496,C112,2026-07-03,2026-07-09,290.36
CV5112,CUST1506,C102,2026-01-10,2026-01-18,175.35
CV5113,CUST1512,C116,2026-04-18,2026-05-01,91.44
CV5114,CUST1516,C104,2026-05-29,2026-05-31,78.18
CV5115,CUST1519,C110,2026-02-19,2026-03-10,68.9
CV5116,CUST1520,C118,2026-06-04,2026-06-14,107.68
CV5117,CUST1523,C101,2026-05-17,2026-05-21,111.46
CV5118,CUST1530,C101,2026-05-24,2026-06-05,60.46
CV5119,CUST1534,C114,2026-04-13,2026-05-01,84.19
CV5120,CUST1539,C103,2026-01-17,2026-01-24,135.31
CV5121,CUST1540,C109,2026-04-05,2026-04-09,194.45
CV5122,CUST1554,C118,2026-06-08,2026-06-15,96.59
CV5123,CUST1557,C110,2026-02-13,2026-02-23,527.21
CV5124,CUST1558,C115,2026-02-23,2026-03-10,76.78
CV5125,CUST1559,C107,2026-05-21,2026-06-02,193.86
CV5126,CUST1565,C117,2026-05-18,2026-05-19,111.19
CV5127,CUST1568,C104,2026-05-31,2026-06-18,146.43
CV5128,CUST1570,C109,2026-04-06,2026-04-22,145.79
CV5129,CUST1571,C105,2026-04-15,2026-04-20,212.99
CV5130,CUST1574,C108,2026-01-22,2026-02-10,59.19
CV5131,CUST1575,C111,2026-05-16,2026-05-20,78.41
CV5132,CUST1576,C113,2026-03-12,2026-03-18,63.6
CV5133,CUST1578,C116,2026-04-13,2026-04-30,289.27
CV5134,CUST1595,C113,2026-03-09,2026-03-16,63.22
CV5135,CUST1603,C114,2026-04-15,2026-04-22,418.0
CV5136,CUST1606,C114,2026-04-11,2026-04-20,99.97
CV5137,CUST1608,C117,2026-05-17,2026-05-30,139.71
CV5138,CUST1612,C114,2026-04-13,2026-04-27,110.38
CV5139,CUST1613,C104,2026-05-23,2026-06-08,157.51
CV5140,CUST1615,C106,2026-02-06,2026-02-15,221.19
CV5141,CUST1616,C116,2026-04-11,2026-04-26,219.5
CV5142,CUST1620,C112,2026-07-07,2026-07-12,105.49
CV5143,CUST1627,C117,2026-05-19,2026-06-06,115.67
CV5144,CUST1635,C116,2026-04-15,2026-04-23,189.85
CV5145,CUST1640,C104,2026-05-28,2026-06-12,113.32
CV5146,CUST1650,C115,2026-02-24,2026-03-05,133.38
CV5147,CUST1661,C119,2026-05-31,2026-06-19,390.53
CV5148,CUST1669,C101,2026-05-12,2026-05-18,195.35
CV5149,CUST1679,C118,2026-06-01,2026-06-05,83.17
CV5150,CUST1681,C100,2026-07-03,2026-07-14,205.48
CV5151,CUST1688,C105,2026-04-17,2026-04-27,112.17
CV5152,CUST1690,C110,2026-02-17,2026-02-20,75.18
CV5153,CUST1697,C117,2026-05-15,2026-05-16,203.81
CV5154,CUST1699,C104,2026-06-03,2026-06-15,123.51
CV5155,CUST1700,C109,2026-04-06,2026-04-21,77.39
CV5156,CUST1702,C101,2026-05-15,2026-05-30,89.15
CV5157,CUST1704,C107,2026-05-19,2026-06-02,132.17
CV5158,CUST1712,C110,2026-02-14,2026-02-21,465.37
CV5159,CUST1717,C104,2026-05-23,2026-06-09,174.44
CV5160,CUST1722,C108,2026-01-25,2026-02-13,129.83
CV5161,CUST1724,C111,2026-05-12,2026-05-19,534.61
CV5162,CUST1726,C102,2026-01-01,2026-01-04,180.8
CV5163,CUST1728,C107,2026-05-20,2026-05-23,143.13
CV5164,CUST1729,C107,2026-05-29,2026-06-16,132.86
CV5165,CUST1730,C110,2026-02-22,2026-03-08,210.45
CV5166,CUST1745,C106,2026-02-02,2026-02-05,109.49
CV5167,CUST1746,C107,2026-05-22,2026-05-29,70.7
CV5168,CUST1747,C113,2026-03-07,2026-03-14,58.28
CV5169,CUST1763,C105,2026-04-18,2026-04-23,201.54
CV5170,CUST1769,C109,2026-04-11,2026-04-14,476.96
CV5171,CUST1771,C114,2026-04-11,2026-04-29,117.11
CV5172,CUST1772,C114,2026-04-13,2026-04-28,175.48
CV5173,CUST1784,C104,2026-06-01,2026-06-15,159.26
