customer_id,campaign_id,segment,signup_date
CUST1000,C119,New,2026-05-26
CUST1001,C110,New,2026-02-18
CUST1002,C106,Returning,2026-02-05
CUST1003,C100,New,2026-07-03
CUST1004,C100,Returning,2026-06-30
CUST1005,C119,New,2026-06-01
CUST1006,C112,New,2026-07-02
CUST1007,C108,Returning,2026-01-20
CUST1008,C102,Returning,2026-01-05
CUST1009,C106,Returning,2026-02-02
CUST1010,C105,Returning,2026-04-14
CUST1011,C107,New,2026-05-21
CUST1012,C108,New,2026-01-24
CUST1013,C104,High-value,2026-05-24
CUST1014,C100,Returning,2026-07-02
CUST1015,C118,New,2026-06-05
CUST1016,C109,Returning,2026-04-09
CUST1017,C111,New,2026-05-06
CUST1018,C114,New,2026-04-12
CUST1019,C108,New,2026-01-18
CUST1020,C119,Returning,2026-05-25
CUST1021,C116,Returning,2026-04-13
CUST1022,C116,New,2026-04-09
CUST1023,C119,High-value,2026-05-23
CUST1024,C111,New,2026-05-09
CUST1025,C106,New,2026-02-05
CUST1026,C101,New,2026-05-11
CUST1027,C102,New,2026-01-05
CUST1028,C116,New,2026-04-12
CUST1029,C104,Returning,2026-05-27
CUST1030,C116,Returning,2026-04-07
CUST1031,C116,Returning,2026-04-09
CUST1032,C116,New,2026-04-07
CUST1033,C101,New,2026-05-11
CUST1034,C101,New,2026-05-13
CUST1035,C104,New,2026-05-24
CUST1036,C100,Returning,2026-06-30
CUST1037,C100,New,2026-06-24
CUST1038,C118,Returning,2026-06-08
CUST1039,C101,High-value,2026-05-16
CUST1040,C111,New,2026-05-07
CUST1041,C105,Returning,2026-04-15
CUST1042,C103,Returning,2026-01-07
CUST1043,C110,Returning,2026-02-12
CUST1044,C116,Returning,2026-04-07
CUST1045,C105,New,2026-04-22
CUST1046,C104,New,2026-05-26
CUST1047,C119,New,2026-05-31
CUST1048,C101,New,2026-05-12
CUST1049,C105,Returning,2026-04-14
CUST1050,C110,New,2026-02-16
CUST1051,C115,High-value,2026-03-02
CUST1052,C115,Returning,2026-02-22
CUST1053,C100,New,2026-06-27
CUST1054,C108,New,2026-01-20
CUST1055,C105,High-value,2026-04-17
CUST1056,C115,Returning,2026-02-21
CUST1057,C102,Returning,2026-01-06
CUST1058,C119,New,2026-05-23
CUST1059,C103,New,2026-01-07
CUST1060,C118,New,2026-06-09
CUST1061,C102,New,2026-01-05
CUST1062,C118,Returning,2026-06-09
CUST1063,C119,Returning,2026-05-27
CUST1064,C106,Returning,2026-02-05
CUST1065,C119,High-value,2026-05-28
CUST1066,C108,Returning,2026-01-24
CUST1067,C100,New,2026-07-01
CUST1068,C107,New,2026-05-21
CUST1069,C106,High-value,2026-01-27
CUST1070,C117,New,2026-05-16
CUST1071,C107,High-value,2026-05-19
CUST1072,C100,Returning,2026-06-27
CUST1073,C110,New,2026-02-18
CUST1074,C117,Returning,2026-05-18
CUST1075,C109,High-value,2026-04-04
CUST1076,C102,Returning,2026-01-02
CUST1077,C106,High-value,2026-02-01
CUST1078,C115,High-value,2026-02-26
CUST1079,C115,New,2026-03-02
CUST1080,C119,New,2026-06-01
CUST1081,C116,High-value,2026-04-11
CUST1082,C101,Returning,2026-05-19
CUST1083,C100,New,2026-07-01
CUST1084,C115,New,2026-02-28
CUST1085,C111,Returning,2026-05-04
CUST1086,C104,High-value,2026-05-26
CUST1087,C104,Returning,2026-05-28
CUST1088,C108,Returning,2026-01-20
CUST1089,C108,New,2026-01-19
CUST1090,C102,New,2026-01-08
CUST1091,C118,High-value,2026-06-02
CUST1092,C115,New,2026-02-26
CUST1093,C115,New,2026-02-25
CUST1094,C102,New,2026-01-08
CUST1095,C119,Returning,2026-05-26
CUST1096,C100,High-value,2026-07-01
CUST1097,C119,New,2026-06-01
CUST1098,C110,New,2026-02-12
CUST1099,C116,Returning,2026-04-14
CUST1100,C107,High-value,2026-05-25
CUST1101,C103,New,2026-01-14
CUST1102,C105,New,2026-04-22
CUST1103,C107,New,2026-05-22
CUST1104,C119,High-value,2026-05-26
CUST1105,C102,New,2026-01-04
CUST1106,C115,New,2026-02-26
CUST1107,C102,Returning,2026-01-05
CUST1108,C117,Returning,2026-05-17
CUST1109,C113,New,2026-03-10
CUST1110,C117,High-value,2026-05-18
CUST1111,C101,New,2026-05-19
CUST1112,C102,Returning,2026-01-08
CUST1113,C115,New,2026-02-26
CUST1114,C108,Returning,2026-01-20
CUST1115,C103,New,2026-01-09
CUST1116,C100,High-value,2026-06-24
CUST1117,C103,Returning,2026-01-13
CUST1118,C100,Returning,2026-07-02
CUST1119,C113,Returning,2026-03-12
CUST1120,C115,Returning,2026-02-28
CUST1121,C119,New,2026-06-01
CUST1122,C107,New,2026-05-19
CUST1123,C106,High-value,2026-01-27
CUST1124,C102,New,2026-01-08
CUST1125,C116,Returning,2026-04-12
CUST1126,C100,High-value,2026-06-28
CUST1127,C115,New,2026-03-02
CUST1128,C111,Returning,2026-05-10
CUST1129,C118,New,2026-06-09
CUST1130,C113,Returning,2026-03-07
CUST1131,C105,New,2026-04-21
CUST1132,C105,New,2026-04-22
CUST1133,C112,Returning,2026-06-29
CUST1134,C118,Returning,2026-06-08
CUST1135,C107,Returning,2026-05-25
CUST1136,C101,Returning,2026-05-15
CUST1137,C100,New,2026-06-24
CUST1138,C114,Returning,2026-04-12
