customer_id,campaign_id,segment,signup_date,channel,campaign_cost,impressions,clicks,revenue,lead_date,conversion_date,converted
CUST1000,C119,New,2026-05-26,Social Media,5838.57,24053,917,,,,0
CUST1001,C110,New,2026-02-18,Email,1066.53,38629,3523,,,,0
CUST1002,C106,Returning,2026-02-05,Email,1091.81,30669,2557,,,,0
CUST1003,C100,New,2026-07-03,Social Media,3414.76,42902,1643,84.4,2026-07-07,2026-07-16,1
CUST1004,C100,Returning,2026-06-30,Social Media,3414.76,42902,1643,134.53,2026-07-01,2026-07-14,1
CUST1005,C119,New,2026-06-01,Social Media,5838.57,24053,917,,,,0
CUST1006,C112,New,2026-07-02,Referral,1998.97,31403,3948,,,,0
CUST1007,C108,Returning,2026-01-20,Google Ads,6651.28,48252,3070,,,,0
CUST1008,C102,Returning,2026-01-05,Referral,1471.71,22781,2752,,,,0
CUST1009,C106,Returning,2026-02-02,Email,1091.81,30669,2557,,,,0
CUST1010,C105,Returning,2026-04-14,Email,1160.94,19694,1758,186.5,2026-04-18,2026-05-06,1
CUST1011,C107,New,2026-05-21,Organic,332.46,28437,3328,111.89,2026-05-24,2026-06-10,1
CUST1012,C108,New,2026-01-24,Google Ads,6651.28,48252,3070,79.86,2026-01-25,2026-01-26,1
CUST1013,C104,High-value,2026-05-24,Email,2213.47,37727,3273,549.29,2026-05-27,2026-06-11,1
CUST1014,C100,Returning,2026-07-02,Social Media,3414.76,42902,1643,,,,0
CUST1015,C118,New,2026-06-05,Social Media,3958.87,5703,233,,,,0
CUST1016,C109,Returning,2026-04-09,Referral,2024.51,43004,7521,,,,0
CUST1017,C111,New,2026-05-06,Organic,283.83,29286,2869,,,,0
CUST1018,C114,New,2026-04-12,Email,2692.19,32316,2759,,,,0
CUST1019,C108,New,2026-01-18,Google Ads,6651.28,48252,3070,,,,0
CUST1020,C119,Returning,2026-05-25,Social Media,5838.57,24053,917,,,,0
CUST1021,C116,Returning,2026-04-13,Social Media,4105.29,18332,760,156.73,2026-04-17,2026-04-19,1
CUST1022,C116,New,2026-04-09,Social Media,4105.29,18332,760,,,,0
CUST1023,C119,High-value,2026-05-23,Social Media,5838.57,24053,917,408.43,2026-05-24,2026-06-09,1
CUST1024,C111,New,2026-05-09,Organic,283.83,29286,2869,,,,0
CUST1025,C106,New,2026-02-05,Email,1091.81,30669,2557,,,,0
CUST1026,C101,New,2026-05-11,Organic,436.8,25238,2315,,,,0
CUST1027,C102,New,2026-01-05,Referral,1471.71,22781,2752,,,,0
CUST1028,C116,New,2026-04-12,Social Media,4105.29,18332,760,57.81,2026-04-16,2026-04-21,1
CUST1029,C104,Returning,2026-05-27,Email,2213.47,37727,3273,188.43,2026-05-27,2026-06-15,1
CUST1030,C116,Returning,2026-04-07,Social Media,4105.29,18332,760,,,,0
CUST1031,C116,Returning,2026-04-09,Social Media,4105.29,18332,760,,,,0
CUST1032,C116,New,2026-04-07,Social Media,4105.29,18332,760,,,,0
CUST1033,C101,New,2026-05-11,Organic,436.8,25238,2315,,,,0
CUST1034,C101,New,2026-05-13,Organic,436.8,25238,2315,107.68,2026-05-15,2026-05-20,1
CUST1035,C104,New,2026-05-24,Email,2213.47,37727,3273,,,,0
CUST1036,C100,Returning,2026-06-30,Social Media,3414.76,42902,1643,,,,0
CUST1037,C100,New,2026-06-24,Social Media,3414.76,42902,1643,,,,0
CUST1038,C118,Returning,2026-06-08,Social Media,3958.87,5703,233,,,,0
CUST1039,C101,High-value,2026-05-16,Organic,436.8,25238,2315,,,,0
CUST1040,C111,New,2026-05-07,Organic,283.83,29286,2869,98.47,2026-05-08,2026-05-10,1
CUST1041,C105,Returning,2026-04-15,Email,1160.94,19694,1758,,,,0
CUST1042,C103,Returning,2026-01-07,Google Ads,9052.37,46699,2464,,,,0
CUST1043,C110,Returning,2026-02-12,Email,1066.53,38629,3523,,,,0
CUST1044,C116,Returning,2026-04-07,Social Media,4105.29,18332,760,,,,0
CUST1045,C105,New,2026-04-22,Email,1160.94,19694,1758,65.69,2026-04-24,2026-05-01,1
CUST1046,C104,New,2026-05-26,Email,2213.47,37727,3273,,,,0
CUST1047,C119,New,2026-05-31,Social Media,5838.57,24053,917,,,,0
CUST1048,C101,New,2026-05-12,Organic,436.8,25238,2315,,,,0
CUST1049,C105,Returning,2026-04-14,Email,1160.94,19694,1758,,,,0
CUST1050,C110,New,2026-02-16,Email,1066.53,38629,3523,,,,0
CUST1051,C115,High-value,2026-03-02,Email,723.62,17419,1486,,,,0
CUST1052,C115,Returning,2026-02-22,Email,723.62,17419,1486,117.4,2026-02-22,2026-02-25,1
CUST1053,C100,New,2026-06-27,Social Media,3414.76,42902,1643,,,,0
CUST1054,C108,New,2026-01-20,Google Ads,6651.28,48252,3070,,,,0
CUST1055,C105,High-value,2026-04-17,Email,1160.94,19694,1758,,,,0
CUST1056,C115,Returning,2026-02-21,Email,723.62,17419,1486,,,,0
CUST1057,C102,Returning,2026-01-06,Referral,1471.71,22781,2752,173.74,2026-01-07,2026-01-24,1
CUST1058,C119,New,2026-05-23,Social Media,5838.57,24053,917,,,,0
CUST1059,C103,New,2026-01-07,Google Ads,9052.37,46699,2464,,,,0
CUST1060,C118,New,2026-06-09,Social Media,3958.87,5703,233,81.7,2026-06-11,2026-06-14,1
CUST1061,C102,New,2026-01-05,Referral,1471.71,22781,2752,,,,0
CUST1062,C118,Returning,2026-06-09,Social Media,3958.87,5703,233,,,,0
CUST1063,C119,Returning,2026-05-27,Social Media,5838.57,24053,917,,,,0
CUST1064,C106,Returning,2026-02-05,Email,1091.81,30669,2557,,,,0
CUST1065,C119,High-value,2026-05-28,Social Media,5838.57,24053,917,,,,0
CUST1066,C108,Returning,2026-01-24,Google Ads,6651.28,48252,3070,,,,0
CUST1067,C100,New,2026-07-01,Social Media,3414.76,42902,1643,,,,0
CUST1068,C107,New,2026-05-21,Organic,332.46,28437,3328,83.46,2026-05-23,2026-06-05,1
CUST1069,C106,High-value,2026-01-27,Email,1091.81,30669,2557,,,,0
CUST1070,C117,New,2026-05-16,Google Ads,10644.32,12437,678,,,,0
CUST1071,C107,High-value,2026-05-19,Organic,332.46,28437,3328,,,,0
CUST1072,C100,Returning,2026-06-27,Social Media,3414.76,42902,1643,,,,0
CUST1073,C110,New,2026-02-18,Email,1066.53,38629,3523,,,,0
CUST1074,C117,Returning,2026-05-18,Google Ads,10644.32,12437,678,,,,0
CUST1075,C109,High-value,2026-04-04,Referral,2024.51,43004,7521,,,,0
CUST1076,C102,Returning,2026-01-02,Referral,1471.71,22781,2752,221.14,2026-01-03,2026-01-10,1
CUST1077,C106,High-value,2026-02-01,Email,1091.81,30669,2557,511.66,2026-02-03,2026-02-06,1
CUST1078,C115,High-value,2026-02-26,Email,723.62,17419,1486,,,,0
CUST1079,C115,New,2026-03-02,Email,723.62,17419,1486,,,,0
CUST1080,C119,New,2026-06-01,Social Media,5838.57,24053,917,,,,0
CUST1081,C116,High-value,2026-04-11,Social Media,4105.29,18332,760,,,,0
CUST1082,C101,Returning,2026-05-19,Organic,436.8,25238,2315,154.41,2026-05-21,2026-06-05,1
CUST1083,C100,New,2026-07-01,Social Media,3414.76,42902,1643,,,,0
CUST1084,C115,New,2026-02-28,Email,723.62,17419,1486,,,,0
CUST1085,C111,Returning,2026-05-04,Organic,283.83,29286,2869,,,,0
CUST1086,C104,High-value,2026-05-26,Email,2213.47,37727,3273,,,,0
